query_id,query,url,organic_rank,domain_rating,page_authority,word_count,has_schema,num_lists_tables,has_faq,query_url_similarity,passage_match_score,content_freshness_days,num_entities_matched,readability_score,is_https,domain_citation_rate,is_forum,is_video,content_type,cited
q0000,how to descale an espresso machine,https://example0000.com/page-0,15,40.7,47.7,1271,0,2,0,0.508,0.582,164,5,60.1,1,0.184,0,0,informational,0
q0000,how to descale an espresso machine,https://example0000.com/page-1,15,43.9,45.7,1144,1,1,0,0.555,0.576,158,8,60.4,1,0.195,0,0,transactional,0
q0000,how to descale an espresso machine,https://example0000.com/page-2,22,60.1,65.6,1317,1,1,0,0.4,0.503,161,10,44.7,1,0.195,0,0,informational,1
q0000,how to descale an espresso machine,https://example0000.com/page-3,1,84.3,84.9,872,0,1,0,0.675,0.61,114,12,67.5,1,0.426,0,0,informational,1
q0000,how to descale an espresso machine,https://example0000.com/page-4,19,61.6,64.0,560,0,1,1,0.58,0.603,155,7,61.5,1,0.259,0,0,informational,0
q0000,how to descale an espresso machine,https://example0000.com/page-5,7,50.0,55.0,698,0,4,1,0.489,0.583,149,8,90.1,1,0.251,0,0,informational,0
q0000,how to descale an espresso machine,https://example0000.com/page-6,12,60.3,48.6,883,0,3,1,0.353,0.307,150,4,82.2,1,0.33,0,0,informational,0
q0000,how to descale an espresso machine,https://example0000.com/page-7,9,69.8,67.2,1966,0,5,0,0.507,0.575,128,8,53.5,1,0.365,0,0,informational,0
q0000,how to descale an espresso machine,https://example0000.com/page-8,19,54.1,50.3,801,0,1,0,0.32,0.221,162,7,54.0,1,0.319,0,0,informational,0
q0001,best home espresso machine 2026,https://example0001.com/page-0,5,100.0,98.6,1552,0,6,1,0.677,0.626,689,5,66.3,1,0.559,0,0,informational,0
q0001,best home espresso machine 2026,https://example0001.com/page-1,19,50.1,51.7,2244,0,4,0,0.487,0.646,920,5,49.5,1,0.322,0,0,commercial,0
q0001,best home espresso machine 2026,https://example0001.com/page-2,25,24.4,31.0,1357,1,1,1,0.628,0.456,968,5,66.3,1,0.09,0,0,informational,0
q0001,best home espresso machine 2026,https://example0001.com/page-3,8,77.6,74.5,1656,1,1,0,0.767,0.768,853,3,43.9,1,0.24,0,1,transactional,0
q0001,best home espresso machine 2026,https://example0001.com/page-4,14,55.1,59.3,2490,1,5,0,0.554,0.943,827,3,56.0,1,0.033,0,0,informational,1
q0001,best home espresso machine 2026,https://example0001.com/page-5,15,47.3,45.2,1006,1,0,0,0.382,0.415,997,7,48.4,1,0.196,0,0,informational,0
q0001,best home espresso machine 2026,https://example0001.com/page-6,16,73.3,72.3,918,1,2,1,0.636,0.851,862,7,59.2,1,0.537,0,0,informational,1
q0001,best home espresso machine 2026,https://example0001.com/page-7,16,32.8,39.5,1089,1,2,0,0.337,0.35,927,3,61.0,1,0.216,0,0,informational,0
q0001,best home espresso machine 2026,https://example0001.com/page-8,10,34.8,18.9,1580,0,3,1,0.45,0.537,952,2,44.7,1,0.144,0,0,informational,0
q0001,best home espresso machine 2026,https://example0001.com/page-9,11,51.3,40.9,834,1,5,1,0.665,0.657,712,7,73.2,1,0.292,1,0,commercial,1
q0001,best home espresso machine 2026,https://example0001.com/page-10,6,58.1,46.3,2092,1,3,1,0.671,0.645,745,13,64.3,1,0.158,1,1,informational,0
q0001,best home espresso machine 2026,https://example0001.com/page-11,7,71.0,52.3,1343,1,5,0,0.509,0.392,767,3,40.1,1,0.31,0,0,transactional,0
