query_id,query,url,video_id,title
q0004,haus schätzen lassen,https://www.youtube.com/watch?v=9580eaI-AkE&t=118,9580eaI-AkE,Haus bewerten: Brauchen Sie einen teuren Gutachter?
q0005,haus bewerten,https://www.youtube.com/watch?v=LrbE5Wf92TI&t=2,LrbE5Wf92TI,Immobilienwert ermitteln: Die 3 Verfahren & häufigsten ...
q0006,immobilienwert berechnen,https://www.youtube.com/watch?v=Rptf4MMbBlM&t=155,Rptf4MMbBlM,So bestimmst du den Wert deiner Immobilie | Baufi Basics
q0007,hausbewertung,https://www.youtube.com/watch?v=4T2VvGrxics&t=64,4T2VvGrxics,Immobilienbewertung: In 4 Schritten einfach erklärt
q0009,immobilie bewerten lassen,https://www.youtube.com/watch?v=4T2VvGrxics&t=64,4T2VvGrxics,Immobilienbewertung: In 4 Schritten einfach erklärt
q0010,wohnung schätzen lassen,https://www.youtube.com/watch?v=4T2VvGrxics&t=93,4T2VvGrxics,Immobilienbewertung: In 4 Schritten einfach erklärt
q0014,wert einer immobilie ermitteln,https://www.youtube.com/watch?v=LrbE5Wf92TI&t=2,LrbE5Wf92TI,Immobilienwert ermitteln: Die 3 Verfahren & häufigsten ...
q0014,wert einer immobilie ermitteln,https://www.youtube.com/shorts/NlYb0GbVA9Y,NlYb0GbVA9Y,Wie wird der Verkehrswert einer Immobilie ermittelt? ...
q0014,wert einer immobilie ermitteln,https://www.youtube.com/shorts/BCoAKw1truA,BCoAKw1truA,"Sie möchten wissen, was Ihre Immobilie wert ist?"
q0016,immobilienwert schätzen,https://www.youtube.com/watch?v=LrbE5Wf92TI&t=2,LrbE5Wf92TI,Immobilienwert ermitteln: Die 3 Verfahren & häufigsten Fehler erklärt
q0017,marktwert immobilie berechnen,https://www.youtube.com/watch?v=Rptf4MMbBlM&t=155,Rptf4MMbBlM,So bestimmst du den Wert deiner Immobilie | Baufi Basics
q0020,verkehrswert haus berechnen,https://www.youtube.com/watch?v=f-xvoOYB5zI,f-xvoOYB5zI,How to determine the value of a property
q0020,verkehrswert haus berechnen,https://www.youtube.com/shorts/NlYb0GbVA9Y,NlYb0GbVA9Y,Wie wird der Verkehrswert einer Immobilie ermittelt? ...
q0023,schätzung immobilienwert,https://www.youtube.com/watch?v=LrbE5Wf92TI&t=2,LrbE5Wf92TI,Immobilienwert ermitteln: Die 3 Verfahren & häufigsten Fehler erklärt
q0026,eigentumswohnung bewerten,https://www.youtube.com/shorts/BCoAKw1truA,BCoAKw1truA,"Sie möchten wissen, was Ihre Immobilie wert ist?"
q0028,kurzgutachten haus,https://www.youtube.com/watch?v=NFgSJWRNKa4,NFgSJWRNKa4,Der Weg zur professionellen Immobilienbewertung
q0029,verkehrswert haus ermitteln,https://www.youtube.com/watch?v=f-xvoOYB5zI,f-xvoOYB5zI,How to determine the value of a property
q0029,verkehrswert haus ermitteln,https://www.youtube.com/shorts/NlYb0GbVA9Y,NlYb0GbVA9Y,Wie wird der Verkehrswert einer Immobilie ermittelt? ...
q0030,immobilien bewertungstool,https://www.youtube.com/watch?v=Y8LsivXrDaQ,Y8LsivXrDaQ,So ersetzt KI die klassische Immobilienbewertung. Fast alle ...
